# Time (ms);Voltage(0, T);Voltage(5, T);Voltage(10, T);Voltage(15, T);Voltage(20, T);Voltage(25, T);Voltage(30, T);Voltage(35, T);Voltage(40, T);Voltage(45, T);Voltage(50, T);Voltage(55, T);Voltage(60, T);Voltage(65, T);Voltage(70, T);Voltage(75, T);Voltage(80, T);Voltage(85, T);Voltage(90, T);Voltage(95, T);Voltage(100, T)
0.010000;-65.002;-5.536541291727058;-0.47546151115044616;-0.04433647416205029;-0.007942593593209986;-0.0046502415887344425;-0.004468137391769261;-0.00441409716616517;-0.004421108476846334;-0.004419111086664511;-0.004419345246284527;-0.004419326278619126;-0.004419326390757259;-0.004419325969749947;-0.0044193256959720924;-0.004419303884911785;-0.004419100566698704;-0.004416596085384712;-0.004387347621416159;-0.004043331785256284;0.0
0.011000;-65.002;-5.536693844029252;-0.47523236610166003;-0.04456099738417412;-0.007787579376648459;-0.004737842643385638;-0.004434582101820831;-0.004427770954976579;-0.004420645708026134;-0.00442178892027345;-0.004421536225314692;-0.004421563908682152;-0.004421561914137337;-0.004421561983356652;-0.004421559778170679;-0.004421543511532365;-0.004421327967134743;-0.004418842427084205;-0.00438955390304872;-0.004045385930233191;0.0
0.012000;-65.002;-5.536641542958597;-0.4753195539981287;-0.04447848451473353;-0.007853096191619627;-0.004703079567832717;-0.004453944945905586;-0.004423766071142173;-0.004424639358860302;-0.004423656464109554;-0.004423826951027828;-0.004423795418000286;-0.004423798646103163;-0.0044237982049286795;-0.004423797006396055;-0.004423778171946825;-0.004423567605140085;-0.004421072894182887;-0.004391778976431391;-0.004047428999257293;0.0
0.013000;-65.002;-5.536663091183671;-0.4752903257701406;-0.0445130377688063;-0.007830077279176634;-0.004721021701379188;-0.004448300407800421;-0.00442919362429074;-0.0044258469534565375;-0.004426153077775604;-0.004426015228710664;-0.004426039310289993;-0.004426035401893051;-0.00442603569805048;-0.004426033981668544;-0.004426016278228634;-0.004425803504931267;-0.004423310617638543;-0.0043939983567714384;-0.004049477103834658;0.0
0.014000;-65.002;-5.536657776064886;-0.47530419931916457;-0.044502931301655335;-0.0078423374152185;-0.004716694656710763;-0.00445406377406117;-0.004429876493399302;-0.00442864546884495;-0.0044282288274534185;-0.004428290454206614;-0.0044282711386040485;-0.00442827441289047;-0.004428273780623467;-0.004428272359602952;-0.004428254148999321;-0.004428042125112879;-0.004425546777079417;-0.004396221016891738;-0.00405152447641243;0.0
0.015000;-65.002;-5.536662310548218;-0.47530203080291145;-0.044509883013315626;-0.00784061429094177;-0.004721647151337458;-0.004454759810748813;-0.004432847492591471;-0.004430595860636738;-0.004430561707857333;-0.00443050483479083;-0.004430515364810728;-0.004430512670034004;-0.004430512987141513;-0.0044305113600353946;-0.004430493358866955;-0.004430280880693637;-0.004427784736805404;-0.004398443648110024;-0.004053573203363016;0.0
0.016000;-65.002;-5.5366632104645985;-0.4753058634246619;-0.0445103115509403;-0.007844415457126098;-0.004722775173623271;-0.0044576640816475195;-0.004434752254200802;-0.004432978522349125;-0.004432750707784579;-0.004432759876753351;-0.00443275167658925;-0.004432753327960974;-0.00443275282392939;-0.004432751356598152;-0.004432733245662561;-0.00443252080028923;-0.004430023213382999;-0.004400667478326514;-0.004055622524137923;0.0
0.017000;-65.002;-5.536665460958446;-0.4753074429434618;-0.04451324023046979;-0.007846041231672115;-0.004725468546690214;-0.004459622581925484;-0.004437143348970445;-0.004435151045126855;-0.004435017948769559;-0.004434992081770883;-0.0044349948505341946;-0.00443499362937682;-0.004434993750642103;-0.004434992156135001;-0.00443497408711695;-0.0044347614771674156;-0.004432262697818959;-0.0044028920502582345;-0.004057672718753788;0.0
0.018000;-65.002;-5.536667208348215;-0.4753098733406347;-0.04451521075322138;-0.007848523920206263;-0.004727526903274608;-0.004461983025799931;-0.004439318818312217;-0.004437424609799271;-0.0044372464516215125;-0.004437238460818882;-0.004437235142763763;-0.004437235685119362;-0.004437235374108194;-0.00443723387332842;-0.004437215766112849;-0.0044370030726527425;-0.004434503002742958;-0.004405117535747147;-0.004059723684130525;0.0
0.019000;-65.002;-5.536669145440022;-0.4753119828851132;-0.04451755076757575;-0.00785067111847278;-0.004729843352011549;-0.0044641760585218005;-0.004441590182951159;-0.004439652622686488;-0.004439495426423065;-0.004439478597006929;-0.004439478514623124;-0.0044394780352188645;-0.004439478001029758;-0.004439476433335639;-0.0044394583349313035;-0.0044392455233416665;-0.004436744200542421;-0.004407343870677364;-0.00406177545910015;0.0
0.020000;-65.002;-5.536671012118243;-0.4753142154454264;-0.04451974973252635;-0.007852951270866637;-0.004732057021139621;-0.004466440024991317;-0.004443821253524802;-0.004441902611274588;-0.004441735842649514;-0.004441723272293428;-0.004441721528836066;-0.0044417216145199185;-0.004441721413296476;-0.004441719888264137;-0.0044417017692497075;-0.004441488855185648;-0.004438986263894807;-0.004409571079777582;-0.004063828029615067;0.0
0.021000;-65.002;-5.53667290644519;-0.47531640234141626;-0.044522004299752276;-0.007855180450671595;-0.00473431321020123;-0.004468675883768788;-0.004446070844898663;-0.004444144034886001;-0.004443981570832919;-0.004443966991553375;-0.004443966076646438;-0.004443965861449204;-0.004443965756015347;-0.004443964203220689;-0.004443946082317557;-0.004443733058015269;-0.0044412292038756886;-0.004411799154172079;-0.004065881401410827;0.0
0.022000;-65.002;-5.536674791315839;-0.47531860786371866;-0.04452423860088589;-0.007857430854336817;-0.00473655358074402;-0.004470924543395728;-0.004448313813216247;-0.004446390499359155;-0.004446226124594065;-0.004446212476059501;-0.004446211157681816;-0.004446211097702002;-0.004446210939357606;-0.004446209401760719;-0.004446191267208551;-0.004445978136725375;-0.004443473016646917;-0.0044140280977283605;-0.004067935572769933;0.0
0.023000;-65.002;-5.536676680818011;-0.47532080744340766;-0.044526481952355534;-0.007859674145091351;-0.0047388015047499015;-0.004473169191308064;-0.004450560818378751;-0.004448636020181662;-0.004448472484365866;-0.004448458411123411;-0.0044484572852720875;-0.004448457147300352;-0.004448457017051406;-0.004448455469593691;-0.0044484373285666595;-0.004448224089566887;-0.00444571770422199;-0.004416257909436077;-0.004069990544776647;0.0
0.024000;-65.002;-5.5366785695873375;-0.47532301049356707;-0.04452872300958323;-0.007861921446759833;-0.00474104763586933;-0.004475416709361346;-0.004452807373525482;-0.004450883202435664;-0.004450719301794049;-0.004450705419858271;-0.004450704203713886;-0.004450704104046376;-0.004450703959147004;-0.004450702415894316;-0.004450684264146915;-0.004450470917903736;-0.004447963266241658;-0.004418488590146853;-0.004072046317438657;0.0
0.025000;-65.002;-5.536680459672948;-0.47532521340014283;-0.044530966169538146;-0.007864168392266432;-0.0047432957071014085;-0.004477664290938442;-0.00445505535663942;-0.004453130923004512;-0.004452967179824143;-0.004452953212682647;-0.004452952038259443;-0.004452951920126403;-0.004452951782530763;-0.004452950235842501;-0.004452932075798418;-0.004452718621514201;-0.004450209703324943;-0.004420720139972287;-0.004074102891161629;0.0
0.026000;-65.002;-5.536682350290827;-0.4753274175543003;-0.04453320972629108;-0.007866416697215885;-0.0047455442297185384;-0.004479913077987607;-0.0044573039863056016;-0.0044553796630037255;-0.0044552158524279115;-0.004455201922878572;-0.0044552007294240475;-0.004455200620033561;-0.00445520047872469;-0.004455198932634502;-0.004455180762942493;-0.004454967201004654;-0.004452457015644965;-0.004422952559304142;-0.0040761602661846495;0.0
0.027000;-65.002;-5.536684241742386;-0.47532962242009036;-0.04453545434317114;-0.00786866568797375;-0.004747793797513401;-0.00448216260760794;-0.004459553586866752;-0.004457629218326663;-0.004457465436512113;-0.004457451490525667;-0.004457450305655273;-0.00445745019217304;-0.004457450052569555;-0.0044574485049989785;-0.004457430326383564;-0.0044572166565104605;-0.004454705203567987;-0.004425185848404613;-0.0040782184427989;0.0
0.028000;-65.002;-5.536686133912202;-0.47533182820496533;-0.04453769976250057;-0.007870915629729342;-0.004750044174383786;-0.0044844130676399765;-0.004461804024791101;-0.004459879675663116;-0.004459715881730634;-0.004459701942886794;-0.004459700754182247;-0.00445970064257891;-0.004459700502061798;-0.004459698954058437;-0.004459680766132201;-0.0044594669884128885;-0.0044569542673496805;-0.004427420007576971;-0.004080277421261564;0.0
0.029000;-65.002;-5.536688026845247;-0.47533403482906467;-0.04453994608505176;-0.007873166418592417;-0.004752295454717118;-0.0044866643825556786;-0.004464055355444755;-0.004462130998955472;-0.004461967210194825;-0.004461953268276013;-0.004461952081269041;-0.004461951968800606;-0.004461951828616447;-0.004461950279661419;-0.0044619320826187765;-0.004461718196941042;-0.004459204207287237;-0.004429655037091268;-0.004082337201830763;0.0
0.030000;-65.002;-5.536689920524641;-0.47533624232373706;-0.04454219327190556;-0.007875418095816662;-0.004754547601333063;-0.004488916583220552;-0.004466307556484821;-0.004464383203688533;-0.004464219412820177;-0.004464205472226075;-0.004464204284473074;-0.004464204172387151;-0.004464204031950498;-0.004464202482295918;-0.004464184276033134;-0.004463970282391809;-0.004461455023640463;-0.004431890937218541;-0.00408439778475096;0.0
0.031000;-65.002;-5.536691814957373;-0.47533845067719926;-0.04454444133862396;-0.007877670645529284;-0.004756800629389915;-0.004491169657561008;-0.004468560637430219;-0.004466636283775248;-0.0044664724938518596;-0.004466458552698524;-0.004466457365270968;-0.004466457253005677;-0.00446645711258816;-0.004466455562112648;-0.004466437346675943;-0.004466223245009984;-0.004463706716673729;-0.0044341277082144024;-0.004086459170259461;0.0
0.032000;-65.002;-5.536693710141193;-0.4753406598944008;-0.04454669027947863;-0.00787992407433341;-0.0047590545332110955;-0.004493423610792581;-0.00447081459474691;-0.0044688902421033275;-0.004468726451849348;-0.0044687125109394875;-0.0044687113233706464;-0.004468711211176896;-0.004468711070653765;-0.004468709519414339;-0.004468691294775758;-0.004468477085052733;-0.004465959286633644;-0.004436365350327373;-0.004088521358583494;0.0
0.033000;-65.002;-5.536695606077405;-0.4753428699737725;-0.04454894009705026;-0.007882178379965427;-0.004761309315393064;-0.004495678441157055;-0.004473069430217583;-0.00447114507781896;-0.004470981287765721;-0.004470967346758835;-0.004470966159250818;-0.004470966047017406;-0.004470965906445359;-0.004470964354414888;-0.004470946120582621;-0.00447073180275566;-0.004468212733761063;-0.004438603863794681;-0.004090584349941709;0.0
0.034000;-65.002;-5.5366975027659295;-0.47534508091626826;-0.04455119079065461;-0.007884433563642218;-0.004763564975228323;-0.004497934149687264;-0.004475325143443675;-0.004473400791603842;-0.004473237001530672;-0.004473223060570625;-0.004473221873036376;-0.00447322176081225;-0.0044732216201656795;-0.004473220067356285;-0.0044732018243211396;-0.004472987398350518;-0.004470467058284834;-0.004440843248844559;-0.004092648144543524;0.0
0.035000;-65.002;-5.536699400207208;-0.47534729272184517;-0.04455344236087244;-0.007886689625194713;-0.004765821513309592;-0.004500190736280571;-0.004477581734900623;-0.004475657383491579;-0.0044754935934899235;-0.004475479652516152;-0.004475478464992989;-0.004475478352756731;-0.004475478212047062;-0.004475476658452736;-0.004475458406213777;-0.004475243872056256;-0.0044727222604251625;-0.004443083505695125;-0.00409471274258953;0.0
0.036000;-65.002;-5.536701298401463;-0.47534950539083565;-0.04455569480777507;-0.007888946564986992;-0.004768078929698929;-0.004502448201276759;-0.004479839204694949;-0.004477914853769118;-0.004477751063801197;-0.004477737122839118;-0.004477735935311113;-0.004477735823072038;-0.0044777356822941535;-0.004477734127917187;-0.004477715866469598;-0.004477501224083618;-0.004474978340391965;-0.004445324634555073;-0.00409677814427138;0.0
0.037000;-65.002;-5.536703197348997;-0.47535171892341155;-0.044557948131620236;-0.007891204383159229;-0.004770337224655911;-0.004504706544824461;-0.004482097553069334;-0.0044801732026055665;-0.0044800094126869845;-0.004479995471725964;-0.00447999428419989;-0.0044799941719539625;-0.004479994031110085;-0.004479992475949001;-0.00447997420528977;-0.004479759454632953;-0.004477235298385808;-0.004447566635623395;-0.004098844349771928;0.0
0.038000;-65.002;-5.536705097050055;-0.47535393331979525;-0.044560202332579006;-0.007893463079926607;-0.004772596398348131;-0.004506965767135544;-0.0044843567801977425;-0.004482432430204854;-0.0044822686403292065;-0.004482254699373685;-0.00448225351184667;-0.004482253399595627;-0.004482253258684743;-0.0044822517027397635;-0.004482233422865042;-0.004482018563895382;-0.0044794931345975226;-0.004449809509089628;-0.004100911359265245;0.0
0.039000;-65.002;-5.536706997504905;-0.47535614858017394;-0.044562457410843366;-0.007895722655461351;-0.004774856450966422;-0.004509225868383137;-0.004486616886268568;-0.004484692536743183;-0.0044845287469131205;-0.00448451480596125;-0.00448451361843451;-0.0044845135061776014;-0.004484513365200118;-0.004484511808470701;-0.004484493519377025;-0.004484278552052326;-0.004481751849208497;-0.0044520532551338195;-0.004102979172916697;0.0
0.040000;-65.002;-5.536708898713783;-0.4753583647047375;-0.044564713366583575;-0.007897983109939449;-0.004777117382679122;-0.004511486848742615;-0.0044888778714510386;-0.004486953522394734;-0.004486789732609189;-0.0044867757916617415;-0.004486774604134761;-0.004486774491872305;-0.004486774350828008;-0.004486772793313954;-0.0044867544949976825;-0.004486539419275823;-0.004484011442390617;-0.004454297873926634;-0.004105047790882989;0.0
0.041000;-65.002;-5.536710800676928;-0.47536058169366024;-0.0445669701999656;-0.007900244443522221;-0.004779379193650346;-0.004513748708375255;-0.0044911397359089006;-0.004489215387321244;-0.004489051597580675;-0.00448903765663733;-0.004489036469110327;-0.004489036356842185;-0.0044890362157311275;-0.004489034657432085;-0.0044890163498896565;-0.004488801165728466;-0.004486271914306394;-0.004456543365629395;-0.004107117213312232;0.0
0.042000;-65.002;-5.536712703394564;-0.4753627995471092;-0.04456922791114381;-0.007902506656363764;-0.004781641884032801;-0.004516011447434872;-0.004493402479794974;-0.004491478131676346;-0.004491314341980584;-0.004491300401041475;-0.00449129921351436;-0.004491299101240586;-0.004491298960062711;-0.004491297400978395;-0.004491279084206209;-0.004491063791563526;-0.004488533265108989;-0.004458789730394154;-0.004109187440343988;0.0
0.043000;-65.002;-5.5367146068669095;-0.47536501826524213;-0.044571486500264205;-0.007904769748608013;-0.004783905453970736;-0.004518275066065241;-0.004495666103253431;-0.004493741755603883;-0.0044935779659530176;-0.004493564025018094;-0.004493562837490902;-0.004493562725211472;-0.004493562583966764;-0.004493561024096861;-0.004493542698091336;-0.004493327296924983;-0.004490795494942289;-0.004461036968363747;-0.004111258472109333;0.0
0.044000;-65.002;-5.536716511094169;-0.4753672378482071;-0.04457374596746326;-0.007907033720390052;-0.004786169903598849;-0.004520539564401227;-0.004497930606418972;-0.004496006259238692;-0.004495842469632704;-0.00449582852870199;-0.004495827341174704;-0.004495827228889625;-0.004495827087578054;-0.004495825526922261;-0.004495807191679806;-0.004495591681947601;-0.004493058603940971;-0.004463285079671855;-0.004113330308730917;0.0
0.045000;-65.002;-5.536718416076541;-0.4753694582961426;-0.04457600631286835;-0.007909298571835643;-0.004788435233042811;-0.004522804942568403;-0.004500195989417235;-0.00449827164270635;-0.004498107853145269;-0.004498093912218753;-0.004498092724691384;-0.004498092612400648;-0.004498092471022193;-0.004498090909580203;-0.004498072565097228;-0.004497856946756979;-0.004495322592230552;-0.004465534064443069;-0.004115402950323003;0.0
0.046000;-65.002;-5.536720321814218;-0.4753716796091789;-0.04457826753659767;-0.007911564303061516;-0.004790701442419135;-0.004525071200683296;-0.004502462252364718;-0.004500537906123381;-0.004500374116607215;-0.004500360175684903;-0.004500358988157446;-0.004500358875861056;-0.004500358734415684;-0.004500357172187195;-0.004500338818460109;-0.00450012309146962;-0.004497587459927455;-0.004467783922792941;-0.004117476396991539;0.0
0.047000;-65.002;-5.536722228307374;-0.47537390178743644;-0.04458052963876047;-0.007913830914175333;-0.0047929685318353205;-0.004527338338853372;-0.004504729395368897;-0.004502805049597252;-0.004502641260126017;-0.0045026273192079105;-0.004502626131680366;-0.004502626019378315;-0.004502625877866007;-0.004502624314850709;-0.0045026059518759225;-0.004502390116192988;-0.004499853207139069;-0.0044700346548280576;-0.004119550648834207;0.0
0.048000;-65.002;-5.536724135556184;-0.4753761248310264;-0.0445827926194569;-0.00791609840527578;-0.004795236501389876;-0.004529606357177127;-0.0045069974185282585;-0.004505073073226452;-0.004504909283800161;-0.00450489534288626;-0.004504894155358628;-0.004504894043050918;-0.004504893901471642;-0.004504892337669234;-0.004504873965443153;-0.004504658021025565;-0.004502119833963811;-0.004472286260646083;-0.004121625705940476;0.0
0.049000;-65.002;-5.536726043560808;-0.47537834874005186;-0.0445850564787782;-0.007918366776452622;-0.004797505351172393;-0.004531875255744132;-0.004509266321932376;-0.004507341977100553;-0.004507178187719219;-0.004507164246809526;-0.0045071630592818076;-0.004507162946968434;-0.004507162805322169;-0.004507161240732341;-0.0045071428592513745;-0.0045069268060569136;-0.004504387340491182;-0.004474538740335832;-0.0041237015683916614;0.0
0.050000;-65.002;-5.536727952321399;-0.4753805735146063;-0.04458732121680684;-0.007920636027786757;-0.0047997750812636;-0.004534145034635097;-0.004511536105661956;-0.004509611761300262;-0.0045094479719639;-0.004509434031058415;-0.004509432843530608;-0.00450943273121157;-0.004509432589498285;-0.004509431024120735;-0.004509412633381292;-0.004509196471367739;-0.0045066557268018245;-0.004476792093977319;-0.004125778236260969;0.0
0.051000;-65.002;-5.536729861838101;-0.4753827991547743;-0.04458958683361634;-0.007922906159350292;-0.004802045691735424;-0.00453641569392193;-0.004513806769788907;-0.004511882425897485;-0.004511718636606108;-0.004511704695704834;-0.004511703508176941;-0.0045117033958522335;-0.004511703254071907;-0.004511701687906327;-0.0045116832879048135;-0.004511467017029941;-0.004508924992967589;-0.004479046321641825;-0.004127855709613566;0.0
0.052000;-65.002;-5.5367317721110485;-0.475385025660632;-0.044591853329271555;-0.007925177171206577;-0.004804317182651054;-0.004538687233667801;-0.004516078314376393;-0.004514153970955391;-0.004513990181709014;-0.004513976240811951;-0.004513975053283968;-0.004513974940953593;-0.0045139747991061975;-0.004513973232152283;-0.0045139548228851035;-0.004513738443106684;-0.004511195139051591;-0.004481301423391953;-0.00412993398850662;0.0
